               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11013,             0.08632,            0.042195,           0.0053555,              0.2711,           0.0064006,           0.0016559,            0.092724,            0.073113,            0.033784,            0.070789,           0.0032456,           0.0032456
                   1,            0.098264,             0.10031,            0.032863,             0.59004,            0.041231,            0.023239,           0.0065414,            0.085144,            0.079481,            0.023794,            0.039487,           0.0052763,           0.0052763
                   2,            0.089658,             0.10125,            0.024819,              0.5347,              0.1077,            0.021859,           0.0060788,            0.081371,            0.083983,             0.02007,           0.0068642,            0.005987,            0.005987
                   3,            0.082127,             0.10243,            0.021809,             0.59545,             0.15536,            0.067968,            0.021557,            0.073422,            0.077179,            0.018268,             0.00406,             0.00406,             0.00406
                   4,            0.076576,            0.097939,             0.02038,             0.61681,             0.20347,             0.09736,            0.028645,            0.066806,            0.081285,            0.016839,             0.00406,             0.00406,             0.00406
