               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.030344,            0.059068,           0.0039641,             0.86947,             0.81232,             0.87907,              0.6103,            0.027477,            0.038299,           0.0024133,             0.00307,             0.00307,             0.00307
                  37,            0.030288,            0.056676,           0.0037023,             0.87359,             0.86065,             0.90034,             0.62994,            0.026751,            0.036145,           0.0021666,            0.002872,            0.002872,            0.002872
                  38,             0.02961,             0.05649,           0.0033456,             0.87712,             0.86106,             0.90349,             0.63794,            0.026254,            0.036229,           0.0021051,            0.002674,            0.002674,            0.002674
                  39,            0.029956,            0.055453,           0.0034981,             0.85499,             0.86164,             0.90425,              0.6363,            0.026232,            0.036657,           0.0019888,            0.002476,            0.002476,            0.002476
                  40,            0.028732,            0.057902,           0.0035171,             0.85716,             0.86361,             0.90448,             0.64772,            0.026463,            0.036437,           0.0021227,            0.002278,            0.002278,            0.002278
                  41,             0.02873,            0.056253,           0.0034491,             0.86959,             0.87645,             0.91551,             0.65138,            0.026023,            0.035985,           0.0019749,             0.00208,             0.00208,             0.00208
                  42,            0.028464,            0.056048,           0.0034385,             0.88408,             0.86814,              0.9195,             0.66099,            0.025492,            0.034729,           0.0018459,            0.001882,            0.001882,            0.001882
                  43,            0.028303,            0.056187,            0.003242,             0.87125,             0.86738,             0.90934,             0.65012,            0.025605,            0.035198,           0.0018399,            0.001684,            0.001684,            0.001684
                  44,            0.028228,            0.056211,           0.0035286,             0.90691,             0.87775,             0.92467,             0.66673,            0.025076,            0.034527,           0.0017151,            0.001486,            0.001486,            0.001486
                  45,            0.027422,            0.053578,           0.0031925,             0.91609,             0.88124,             0.93012,             0.66532,            0.025154,            0.034218,           0.0017595,            0.001288,            0.001288,            0.001288
                  46,            0.027593,            0.053399,           0.0030384,             0.90266,              0.8909,             0.93198,             0.67568,            0.024784,            0.033852,            0.001583,             0.00109,             0.00109,             0.00109
                  47,            0.027105,            0.054424,           0.0031477,             0.90581,             0.87829,             0.92883,             0.67597,            0.024712,            0.034016,           0.0015989,            0.000892,            0.000892,            0.000892
                  48,             0.02744,            0.053948,           0.0030929,             0.89342,             0.89887,             0.93231,             0.67566,             0.02461,            0.033592,           0.0016177,            0.000694,            0.000694,            0.000694
                  49,            0.027261,            0.052758,           0.0027767,             0.91716,             0.88733,             0.93553,             0.68321,            0.024484,            0.033302,           0.0015288,            0.000496,            0.000496,            0.000496
