               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.034656,            0.060406,           0.0043622,             0.82977,              0.8436,             0.87952,             0.56887,            0.029471,            0.041534,           0.0026243,           0.0073072,           0.0073072,           0.0073072
                  36,            0.033882,            0.061205,           0.0040934,             0.78463,             0.84385,             0.87104,             0.57135,            0.030353,            0.041007,           0.0031391,            0.007228,            0.007228,            0.007228
                  37,            0.033551,            0.058276,           0.0040511,              0.8197,             0.86203,              0.8813,             0.58644,            0.029448,            0.040544,           0.0025909,           0.0071488,           0.0071488,           0.0071488
                  38,            0.032911,            0.058711,           0.0035932,             0.88314,             0.84908,             0.91094,             0.61716,            0.027831,            0.038396,            0.002251,           0.0070696,           0.0070696,           0.0070696
                  39,             0.03337,            0.057312,           0.0037308,             0.89601,             0.87481,             0.91641,             0.61998,            0.028456,             0.03843,           0.0021685,           0.0069904,           0.0069904,           0.0069904
                  40,            0.032485,            0.059514,           0.0035684,             0.87045,             0.86957,             0.91325,              0.6319,            0.028584,              0.0375,            0.002233,           0.0069112,           0.0069112,           0.0069112
                  41,            0.032366,            0.058094,           0.0035306,             0.76134,              0.7869,             0.84039,             0.56353,            0.029687,             0.04187,           0.0031091,            0.006832,            0.006832,            0.006832
                  42,            0.031873,            0.058207,           0.0034492,              0.8771,             0.86069,              0.9086,                0.62,            0.027988,            0.038025,           0.0021838,           0.0067528,           0.0067528,           0.0067528
                  43,            0.031959,            0.058413,            0.003334,             0.85494,             0.88421,             0.92114,             0.60368,            0.029453,            0.038277,           0.0020819,           0.0066736,           0.0066736,           0.0066736
                  44,             0.03199,            0.058308,           0.0035614,              0.8756,             0.86583,             0.90862,              0.6281,            0.027305,            0.038199,           0.0024661,           0.0065944,           0.0065944,           0.0065944
                  45,            0.031246,            0.056295,           0.0033479,              0.7174,              0.7524,             0.79669,             0.53154,            0.029917,            0.043855,           0.0044245,           0.0065152,           0.0065152,           0.0065152
                  46,            0.032102,            0.055436,           0.0032339,             0.92508,             0.90151,             0.94424,             0.66124,            0.027177,            0.035628,           0.0017255,            0.006436,            0.006436,            0.006436
                  47,              0.0313,            0.056727,           0.0033706,             0.88753,             0.87558,             0.93075,             0.60706,            0.027263,            0.036836,           0.0019913,           0.0063568,           0.0063568,           0.0063568
                  48,              0.0314,            0.056291,           0.0030239,             0.88023,             0.89591,             0.93745,             0.63718,            0.027607,            0.037035,           0.0016824,           0.0062776,           0.0062776,           0.0062776
                  49,            0.031475,            0.054612,           0.0029883,             0.91681,             0.91305,             0.95215,             0.66667,            0.026608,             0.03478,           0.0016885,           0.0061984,           0.0061984,           0.0061984
                  50,            0.030591,            0.053634,           0.0032415,             0.86115,             0.88111,             0.92293,             0.62731,            0.028431,            0.038431,           0.0018039,           0.0061192,           0.0061192,           0.0061192
                  51,            0.030397,             0.05517,            0.003045,               0.916,             0.90526,             0.94631,             0.65916,            0.026122,            0.035028,           0.0018773,             0.00604,             0.00604,             0.00604
                  52,            0.030196,             0.05596,           0.0027311,             0.92156,             0.90551,             0.94137,             0.65976,            0.027469,            0.035532,           0.0017493,           0.0059608,           0.0059608,           0.0059608
                  53,            0.030677,            0.053876,           0.0032543,             0.89488,             0.92467,             0.94979,             0.66408,            0.026728,            0.035211,           0.0018216,           0.0058816,           0.0058816,           0.0058816
                  54,            0.030129,            0.054757,           0.0030369,             0.92224,             0.91833,             0.95023,             0.67876,            0.025654,              0.0348,           0.0014863,           0.0058024,           0.0058024,           0.0058024
                  55,            0.029879,              0.0549,           0.0027386,             0.92864,             0.91339,             0.95712,             0.67885,            0.025508,             0.03519,            0.001572,           0.0057232,           0.0057232,           0.0057232
                  56,            0.029452,            0.054056,            0.002831,             0.93542,             0.92556,             0.95837,             0.69507,            0.025673,            0.034065,           0.0014648,            0.005644,            0.005644,            0.005644
                  57,            0.029931,            0.054281,           0.0027394,             0.92097,             0.92428,             0.95673,             0.67799,            0.025038,            0.033638,           0.0014686,           0.0055648,           0.0055648,           0.0055648
                  58,            0.030161,            0.053859,            0.002391,             0.93492,             0.93231,              0.9619,             0.68509,            0.024753,             0.03331,           0.0013391,           0.0054856,           0.0054856,           0.0054856
                  59,            0.029224,            0.052144,           0.0026131,             0.91438,             0.92485,             0.95428,             0.67197,            0.025979,            0.034664,           0.0013601,           0.0054064,           0.0054064,           0.0054064
                  60,            0.029054,            0.053053,           0.0025474,             0.92134,             0.93385,             0.95692,             0.66103,            0.025249,            0.033126,             0.00147,           0.0053272,           0.0053272,           0.0053272
                  61,            0.028949,            0.053348,           0.0026473,             0.92374,             0.91469,             0.94587,             0.67712,            0.025391,            0.034353,           0.0016427,            0.005248,            0.005248,            0.005248
                  62,             0.02932,            0.051902,           0.0027519,             0.91952,             0.91582,             0.95402,             0.68173,            0.025159,            0.033864,           0.0015414,           0.0051688,           0.0051688,           0.0051688
                  63,             0.02892,            0.050347,            0.002549,             0.93125,             0.93005,             0.96096,             0.70098,            0.024666,            0.033233,           0.0014186,           0.0050896,           0.0050896,           0.0050896
                  64,            0.028454,            0.052086,            0.002418,               0.918,              0.9343,             0.96142,              0.6926,             0.02467,            0.033253,           0.0013003,           0.0050104,           0.0050104,           0.0050104
                  65,            0.028475,            0.051986,           0.0024055,               0.949,             0.93359,             0.96823,             0.70564,            0.024032,            0.032514,           0.0013073,           0.0049312,           0.0049312,           0.0049312
                  66,            0.027983,            0.051797,           0.0023156,             0.94124,             0.93328,             0.96462,             0.71206,            0.024343,            0.032905,           0.0012844,            0.004852,            0.004852,            0.004852
                  67,            0.027903,            0.049935,           0.0023807,             0.94503,              0.9398,             0.96846,             0.70081,            0.024255,             0.03297,           0.0012866,           0.0047728,           0.0047728,           0.0047728
                  68,             0.02757,            0.050214,           0.0023181,             0.94887,             0.94568,             0.96903,             0.71882,            0.023902,            0.031947,           0.0011995,           0.0046936,           0.0046936,           0.0046936
                  69,            0.027777,            0.052611,           0.0024575,             0.94691,             0.93561,              0.9662,              0.7068,            0.024049,            0.032453,           0.0013011,           0.0046144,           0.0046144,           0.0046144
                  70,            0.027755,            0.050359,           0.0024026,             0.93451,             0.94164,             0.96902,             0.71077,             0.02378,            0.032091,           0.0012581,           0.0045352,           0.0045352,           0.0045352
                  71,             0.02752,            0.050675,            0.002241,             0.94679,             0.94504,              0.9721,             0.72049,            0.023468,            0.031559,           0.0011316,            0.004456,            0.004456,            0.004456
                  72,            0.027159,            0.050994,           0.0022283,             0.94678,              0.9447,             0.96943,             0.70972,            0.023247,             0.03161,           0.0012227,           0.0043768,           0.0043768,           0.0043768
                  73,            0.026771,            0.050299,           0.0021671,              0.9434,             0.93988,             0.96959,             0.70975,            0.023661,            0.031782,             0.00138,           0.0042976,           0.0042976,           0.0042976
                  74,            0.026793,            0.048476,           0.0021042,             0.95187,             0.94118,             0.97323,             0.70664,            0.023422,            0.031967,           0.0011744,           0.0042184,           0.0042184,           0.0042184
                  75,            0.026327,            0.050213,           0.0020267,             0.94804,              0.9444,             0.97247,             0.71937,            0.023052,            0.031038,           0.0010684,           0.0041392,           0.0041392,           0.0041392
                  76,            0.026486,            0.049325,           0.0022045,             0.94697,             0.94429,             0.97162,             0.72515,            0.022832,            0.031119,           0.0010622,             0.00406,             0.00406,             0.00406
                  77,            0.026491,            0.047838,           0.0020503,             0.95836,             0.94261,             0.97505,             0.71561,            0.022998,            0.031272,           0.0010765,           0.0039808,           0.0039808,           0.0039808
                  78,            0.026656,            0.048578,           0.0023305,             0.95852,             0.95226,             0.97676,             0.72278,            0.022765,            0.030109,           0.0010749,           0.0039016,           0.0039016,           0.0039016
                  79,            0.026211,            0.048806,           0.0021973,             0.95551,              0.9475,             0.97603,                0.73,            0.022666,            0.030179,           0.0010805,           0.0038224,           0.0038224,           0.0038224
                  80,            0.025888,            0.050413,           0.0021813,             0.95276,             0.95652,             0.97982,             0.73672,            0.022508,            0.029659,          0.00098316,           0.0037432,           0.0037432,           0.0037432
                  81,            0.025814,            0.047487,            0.002001,             0.95832,               0.952,             0.97678,             0.73386,            0.022708,            0.030154,           0.0010209,            0.003664,            0.003664,            0.003664
                  82,            0.025895,            0.049841,           0.0018543,              0.9607,             0.95323,             0.97823,             0.73589,             0.02235,            0.030098,          0.00095959,           0.0035848,           0.0035848,           0.0035848
                  83,            0.025476,            0.047885,           0.0019321,             0.95318,             0.95228,             0.97635,             0.73646,            0.022186,            0.029953,          0.00099186,           0.0035056,           0.0035056,           0.0035056
                  84,            0.025732,            0.047513,           0.0018005,             0.95131,             0.94689,             0.97601,              0.7243,            0.022757,            0.031274,          0.00097584,           0.0034264,           0.0034264,           0.0034264
                  85,            0.025373,            0.047061,           0.0019012,             0.95275,             0.96006,             0.97884,             0.74128,            0.022332,            0.029676,          0.00092172,           0.0033472,           0.0033472,           0.0033472
                  86,            0.025565,            0.047642,           0.0020657,             0.95951,             0.95724,             0.98002,             0.74249,             0.02192,            0.029271,          0.00088772,            0.003268,            0.003268,            0.003268
