               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10233,            0.084983,            0.038567,            0.056585,            0.049752,            0.020236,            0.006538,             0.08717,             0.06551,            0.027102,            0.070337,           0.0032959,           0.0032959
                   1,             0.08145,            0.090047,            0.023593,             0.35736,              0.1762,            0.083116,            0.025487,            0.073944,            0.062358,            0.017731,            0.039024,           0.0053166,           0.0053166
                   2,            0.071433,            0.083836,            0.017793,             0.60908,             0.20491,                 0.1,            0.033245,            0.067631,            0.058873,            0.014597,           0.0063919,           0.0060174,           0.0060174
                   3,            0.062588,             0.08021,            0.014626,             0.72566,              0.2543,             0.21812,            0.097248,            0.054893,            0.057411,            0.012267,             0.00406,             0.00406,             0.00406
                   4,            0.058649,            0.079626,            0.013769,             0.75052,             0.29358,             0.27484,             0.13683,            0.050754,            0.056025,            0.011311,             0.00406,             0.00406,             0.00406
